School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Out of State Cost,In State Cost,Average Net Price (Public),Average Net Price (Private),Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,90th Percentile Cumulative Loan Debt,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Median Earnings for Students Not Enrolled 10 Years,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio
Dominican University of California,CA,94901-2298,13,0.3092,9020.0,1444.0,0.3102,0.6898,0.8889,79219.0,21.0,0.9134,64877.0,46940.0,46940.0,,32978.0,0.279,0.6081,38166.0,0.7098,0.7031019202,0.026,0.92405046140856,66571.0,0,32978.0,1.0,0.5733127037298523
Fresno Pacific University,CA,93702-4709,11,0.876,7517.0,2872.0,0.2625,0.7375,0.7414,53503.0,28.0,0.6608,43780.0,32950.0,32950.0,,16356.0,0.6204,0.7054,32000.0,0.6681,0.578358209,0.056,1.00179264568202,49071.0,0,16356.0,1.0,0.6521163212488028
Harvey Mudd College,CA,91711,21,0.8992,14397.0,893.0,0.5028,0.4972,0.9744,82806.0,19.0,0.1367,76953.0,58660.0,58660.0,,32727.0,0.133,0.3858,28630.0,0.9179,,0.0,0.57180599254863,108988.0,0,32727.0,1.0,0.2626894704004111
Holy Names University,CA,94619-1699,11,0.2727,8173.0,668.0,0.3593,0.6407,0.6686,72379.0,22.0,0.6325,56509.0,40102.0,40102.0,,23034.0,0.5332,0.8228,42685.0,0.4815,0.5756302521,0.035,0.98271650208213,60573.0,1,23034.0,1.0,0.704686906707609
Humboldt State University,CA,95521-8299,33,0.5626,9828.0,6559.0,0.4257,0.5743,0.7505,57400.0,22.0,0.9217,24497.0,19744.0,7864.0,14692.0,,0.5562,0.5005,31000.0,0.5033,0.6171093481,0.082,0.9700398153951,42726.0,0,14692.0,2.5106815869786367,0.7255535271263399
Humphreys University-Stockton and Modesto Campuses,CA,95207-3896,11,0.1705,5550.0,309.0,0.2718,0.7282,1.0,54713.0,28.0,,24673.0,14580.0,14580.0,,11055.0,0.5773,0.5962,50084.0,0.4,0.2902408112,0.088,1.07192233053954,36499.0,0,11055.0,1.0,1.3722019781363872
Life Pacific University,CA,91773-3298,21,0.2632,6382.0,451.0,0.4435,0.5565,0.5875,65850.0,21.0,0.9137,28917.0,16592.0,16592.0,,20865.0,0.5811,0.6906,34490.0,0.4345,0.632183908,0.051,1.01537166910401,43006.0,0,20865.0,1.0,0.80198111891364
University of La Verne,CA,91750-4401,21,0.3591,9494.0,4516.0,0.4101,0.5899,0.8179,67082.0,26.0,0.5482,58014.0,44550.0,44550.0,,25780.0,0.455,0.6186,40334.0,0.7109,0.5721784777,0.032,1.00794078468785,56663.0,0,25780.0,1.0,0.7118225296930978
Laguna College of Art and Design,CA,92651,41,0.2489,9183.0,784.0,0.2793,0.7207,0.7931,84064.0,21.0,0.8097,49066.0,31600.0,31600.0,,35355.0,0.3688,0.556,38724.0,0.5874,0.6746987952,0.027,0.94148858362478,46602.0,0,35355.0,1.0,0.8309514613106733
La Sierra University,CA,92505-8247,11,0.3309,8123.0,1592.0,0.3926,0.6074,0.7778,63313.0,21.0,0.552,46672.0,33570.0,33570.0,,24046.0,0.4853,0.639,42666.0,0.4621,0.6286681716,0.042,1.02791491471901,55004.0,0,24046.0,1.0,0.7756890407970329
